Agency,Asset Category,Asset,Asset Sub-Category/Components,Total,Units,Condition Criteria,Condition Criteria Percent
NYCT,Shops and yards,Railcar Maintenance Shops (15 Shops),Roof,15,Each,Percent in Poor/Marginal Condition,0.47
NYCT,Shops and yards,Railcar Maintenance Shops (15 Shops),HVAC,15,Each,Percent in Poor/Marginal Condition,0.47
NYCT,Shops and yards,Railcar Maintenance Shops (15 Shops),Exterior,15,Each,Percent in Poor/Marginal Condition,0.33
NYCT,Shops and yards,Railcar Maintenance Shops (15 Shops),Building Structure,15,Each,Percent in Poor/Marginal Condition,0.73
NYCT,Shops and yards,Railcar Maintenance Shops (15 Shops),Electrical,15,Each,Percent in Poor/Marginal Condition,0.33
NYCT,Shops and yards,Railcar Maintenance Shops (15 Shops),Elevators,8,Each,Percent in Poor/Marginal Condition,0.63
NYCT,Shops and yards,Railcar Maintenance Shops (15 Shops),Employee Facilities,15,Each,Percent in Poor/Marginal Condition,0.8
NYCT,Shops and yards,Railcar Maintenance Shops (15 Shops),Heavy Shop Equipment,41,Each,Percent in Poor/Marginal Condition,0.1
NYCT,Shops and yards,"Railcar Overhaul Shops (2 Overhaul Complexes, 15 Sub-shops)",Roof,15,Each,Percent in Poor/Marginal Condition,0.13
NYCT,Shops and yards,"Railcar Overhaul Shops (2 Overhaul Complexes, 15 Sub-shops)",HVAC,15,Each,Percent in Poor/Marginal Condition,0.67
NYCT,Shops and yards,"Railcar Overhaul Shops (2 Overhaul Complexes, 15 Sub-shops)",Exterior,15,Each,Percent in Poor/Marginal Condition,0.13
NYCT,Shops and yards,"Railcar Overhaul Shops (2 Overhaul Complexes, 15 Sub-shops)",Building Structure,15,Each,Percent in Poor/Marginal Condition,0.73
NYCT,Shops and yards,"Railcar Overhaul Shops (2 Overhaul Complexes, 15 Sub-shops)",Electrical,15,Each,Percent in Poor/Marginal Condition,0.13
NYCT,Shops and yards,"Railcar Overhaul Shops (2 Overhaul Complexes, 15 Sub-shops)",Elevators,12,Each,Percent in Poor/Marginal Condition,1
NYCT,Shops and yards,"Railcar Overhaul Shops (2 Overhaul Complexes, 15 Sub-shops)",Employee Facilities,15,Each,Percent in Poor/Marginal Condition,0.47
NYCT,Shops and yards,"Railcar Overhaul Shops (2 Overhaul Complexes, 15 Sub-shops)",Heavy Shop Equipment,246,Each,Percent in Poor/Marginal Condition,0.36
NYCT,Shops and yards,Rail Storage Yards (24 Rail Yards),CCTV,2,Each,Percent in Poor/Marginal Condition,0.5
NYCT,Shops and yards,Rail Storage Yards (24 Rail Yards),Fencing,24,Each,Percent in Poor/Marginal Condition,0
NYCT,Shops and yards,Rail Storage Yards (24 Rail Yards),Hydrants,24,Each,Percent in Poor/Marginal Condition,0.08
NYCT,Shops and yards,Rail Storage Yards (24 Rail Yards),Lighting,24,Each,Percent in Poor/Marginal Condition,0.5
