Project,Category,Value
10th Ave Station on the Flushing No 7 Line,Description,Construction of a new subway station at 41 Street and 10 Avenue on the 7.
10th Ave Station on the Flushing No 7 Line,Objectives,Shorten commute times to developing areas of Hudson Yards.
10th Ave Station on the Flushing No 7 Line,Total Construction Cost ($2027),"$1,900,000,000 "
10th Ave Station on the Flushing No 7 Line,Cost: Vehicles ($2027),"$41,001,000 "
10th Ave Station on the Flushing No 7 Line,Annual O&M Cost ($2027),"$10,000,000 "
10th Ave Station on the Flushing No 7 Line,Daily Riders (2045),"55,000"
10th Ave Station on the Flushing No 7 Line,New Daily Riders (2045),600
10th Ave Station on the Flushing No 7 Line,Equity Area Riders (2045),"26,860"
10th Ave Station on the Flushing No 7 Line,Travel Time Saved Per Trip (minutes),0.9
10th Ave Station on the Flushing No 7 Line,Cost/Time Saved metric,Cost/minute
10th Ave Station on the Flushing No 7 Line,Cost/Time Saved result,$81.29 
10th Ave Station on the Flushing No 7 Line,Cost/Time Saved score,0
10th Ave Station on the Flushing No 7 Line,Equity metric,Percent
10th Ave Station on the Flushing No 7 Line,Equity result,48.90%
10th Ave Station on the Flushing No 7 Line,Equity score,34
10th Ave Station on the Flushing No 7 Line,Sustainability metric,Change in daily vehicle miles traveled
10th Ave Station on the Flushing No 7 Line,Sustainability result,-198
10th Ave Station on the Flushing No 7 Line,Sustainability score,22
10th Ave Station on the Flushing No 7 Line,Resiliency metric,Number of Rail Connections
10th Ave Station on the Flushing No 7 Line,Resiliency result,3
10th Ave Station on the Flushing No 7 Line,Resiliency score,17
10th Ave Station on the Flushing No 7 Line,Capacity metric,Change in passenger hours
10th Ave Station on the Flushing No 7 Line,Capacity result,"-1,086"
10th Ave Station on the Flushing No 7 Line,Capacity score,13
10th Ave Station on the Flushing No 7 Line,Geographic distribution metric,Change in hours
10th Ave Station on the Flushing No 7 Line,Geographic distribution result,"-1,023"
10th Ave Station on the Flushing No 7 Line,Geographic distribution score,3
10th Ave Station on the Flushing No 7 Line,Network leverage metric,Percent
10th Ave Station on the Flushing No 7 Line,Network leverage result,1
10th Ave Station on the Flushing No 7 Line,Network leverage score,100
10th Ave Station on the Flushing No 7 Line,Cost: Guideway and Track Elements,$0 
10th Ave Station on the Flushing No 7 Line,"Cost: Stations, Stops, Terminals, Intermodal","$405,143,000 "
10th Ave Station on the Flushing No 7 Line,Cost: Support Facilities,$0 
10th Ave Station on the Flushing No 7 Line,Cost: Sitework and Special Considerations,"$280,916,000 "
10th Ave Station on the Flushing No 7 Line,Cost: Systems,$0 
10th Ave Station on the Flushing No 7 Line,Cost: Engineering Contingency,"$121,069,000 "
10th Ave Station on the Flushing No 7 Line,"Cost: Right-of-Way (ROW), Land, and Existing Improvements",$0 
10th Ave Station on the Flushing No 7 Line,Cost: Professional Services,"$439,885,000 "
10th Ave Station on the Flushing No 7 Line,Cost: Contingency,"$161,426,000 "
10th Ave Station on the Flushing No 7 Line,Cost: Original Estimate Year,2020
10th Ave Station on the Flushing No 7 Line,Cost: Escalation from original estimate year to Q1 2022 (varies),"$164,083,000 "
10th Ave Station on the Flushing No 7 Line,Cost: Escalation from Q1 2022 to Q3 2027,"$327,544,000 "
10th Ave Station on the Flushing No 7 Line,Cost: Escalation from Q1 2023 to Q3 2027,N/A
10th Ave Station on the Flushing No 7 Line,Network Leverage: % on MTA Right of Way,100%
10th Ave Station on the Flushing No 7 Line,Network Leverage: % on Public Right of Way,0%
10th Ave Station on the Flushing No 7 Line,Network Leverage: % on Private Right of Way,0%
Danbury-Southeast Connection,Description,"Reactivation of a 11-mile portion of the Beacon Line between Southeast New York and Danbury, Connecticut, for passenger service"
Danbury-Southeast Connection,Objectives,"Provide a rail connection from Danbury, CT to the Metro-North Railroad Harlem Line for improved travel time and eased parking demands at Harlem Line stations and I-84/I-684 congestion."
Danbury-Southeast Connection,Total Construction Cost ($2027),"$820,000,000 "
Danbury-Southeast Connection,Cost: Vehicles ($2027),"$52,262,000 "
Danbury-Southeast Connection,Annual O&M Cost ($2027),"$29,000,000 "
Danbury-Southeast Connection,Daily Riders (2045),"2,600"
Danbury-Southeast Connection,New Daily Riders (2045),900
Danbury-Southeast Connection,Equity Area Riders (2045),590
Danbury-Southeast Connection,Travel Time Saved Per Trip (minutes),12.2
Danbury-Southeast Connection,Cost/Time Saved metric,Cost/minute
Danbury-Southeast Connection,Cost/Time Saved result,$6.35 
Danbury-Southeast Connection,Cost/Time Saved score,59
Danbury-Southeast Connection,Equity metric,Percent
Danbury-Southeast Connection,Equity result,23.00%
Danbury-Southeast Connection,Equity score,0
Danbury-Southeast Connection,Sustainability metric,Change in daily vehicle miles traveled
Danbury-Southeast Connection,Sustainability result,"-51,655"
Danbury-Southeast Connection,Sustainability score,77
Danbury-Southeast Connection,Resiliency metric,Number of Rail Connections
Danbury-Southeast Connection,Resiliency result,3
Danbury-Southeast Connection,Resiliency score,17
Danbury-Southeast Connection,Capacity metric,Change in passenger hours
Danbury-Southeast Connection,Capacity result,"-1,423"
Danbury-Southeast Connection,Capacity score,17
Danbury-Southeast Connection,Geographic distribution metric,Change in hours
Danbury-Southeast Connection,Geographic distribution result,"-16,532"
Danbury-Southeast Connection,Geographic distribution score,64
Danbury-Southeast Connection,Network leverage metric,Percent
Danbury-Southeast Connection,Network leverage result,0.55
Danbury-Southeast Connection,Network leverage score,40
Danbury-Southeast Connection,Cost: Guideway and Track Elements,"$19,882,000 "
Danbury-Southeast Connection,"Cost: Stations, Stops, Terminals, Intermodal","$73,619,000 "
Danbury-Southeast Connection,Cost: Support Facilities,$0 
Danbury-Southeast Connection,Cost: Sitework and Special Considerations,"$188,064,000 "
Danbury-Southeast Connection,Cost: Systems,"$38,757,000 "
Danbury-Southeast Connection,Cost: Engineering Contingency,"$56,527,000 "
Danbury-Southeast Connection,"Cost: Right-of-Way (ROW), Land, and Existing Improvements",$0 
Danbury-Southeast Connection,Cost: Professional Services,"$163,063,000 "
Danbury-Southeast Connection,Cost: Contingency,"$75,370,000 "
Danbury-Southeast Connection,Cost: Original Estimate Year,2021
Danbury-Southeast Connection,Cost: Escalation from original estimate year to Q1 2022 (varies),"$60,175,000 "
Danbury-Southeast Connection,Cost: Escalation from Q1 2022 to Q3 2027,"$140,692,000 "
Danbury-Southeast Connection,Cost: Escalation from Q1 2023 to Q3 2027,N/A
Danbury-Southeast Connection,Network Leverage: % on MTA Right of Way,40%
Danbury-Southeast Connection,Network Leverage: % on Public Right of Way,0%
Danbury-Southeast Connection,Network Leverage: % on Private Right of Way,60%
Elmhurst Station (LIRR),Description,Restoration of Long Island Rail Road service at the former Elmhurst Station on the Port Washington Branch in Queens.
Elmhurst Station (LIRR),Objectives,Provide additional access to employment and commercial centers near station
Elmhurst Station (LIRR),Total Construction Cost ($2027),"$210,000,000 "
Elmhurst Station (LIRR),Cost: Vehicles ($2027),N/A
Elmhurst Station (LIRR),Annual O&M Cost ($2027),"$1,000,000 "
Elmhurst Station (LIRR),Daily Riders (2045),"3,100"
Elmhurst Station (LIRR),New Daily Riders (2045),"1,200"
Elmhurst Station (LIRR),Equity Area Riders (2045),"3,040"
Elmhurst Station (LIRR),Travel Time Saved Per Trip (minutes),0.6
Elmhurst Station (LIRR),Cost/Time Saved metric,Cost/minute
Elmhurst Station (LIRR),Cost/Time Saved result,No Time Saved
Elmhurst Station (LIRR),Cost/Time Saved score,0
Elmhurst Station (LIRR),Equity metric,Percent
Elmhurst Station (LIRR),Equity result,96.50%
Elmhurst Station (LIRR),Equity score,97
Elmhurst Station (LIRR),Sustainability metric,Change in daily vehicle miles traveled
Elmhurst Station (LIRR),Sustainability result,"-5,982"
Elmhurst Station (LIRR),Sustainability score,28
Elmhurst Station (LIRR),Resiliency metric,Number of Rail Connections
Elmhurst Station (LIRR),Resiliency result,3
Elmhurst Station (LIRR),Resiliency score,17
Elmhurst Station (LIRR),Capacity metric,Change in passenger hours
Elmhurst Station (LIRR),Capacity result,"1,212"
Elmhurst Station (LIRR),Capacity score,0
Elmhurst Station (LIRR),Geographic distribution metric,Change in hours
Elmhurst Station (LIRR),Geographic distribution result,"3,944"
Elmhurst Station (LIRR),Geographic distribution score,0
Elmhurst Station (LIRR),Network leverage metric,Percent
Elmhurst Station (LIRR),Network leverage result,0.99
Elmhurst Station (LIRR),Network leverage score,99
Elmhurst Station (LIRR),Cost: Guideway and Track Elements,$0 
Elmhurst Station (LIRR),"Cost: Stations, Stops, Terminals, Intermodal","$31,541,000 "
Elmhurst Station (LIRR),Cost: Support Facilities,$0 
Elmhurst Station (LIRR),Cost: Sitework and Special Considerations,"$43,638,000 "
Elmhurst Station (LIRR),Cost: Systems,"$2,798,000 "
Elmhurst Station (LIRR),Cost: Engineering Contingency,"$13,761,000 "
Elmhurst Station (LIRR),"Cost: Right-of-Way (ROW), Land, and Existing Improvements",$0 
Elmhurst Station (LIRR),Cost: Professional Services,"$45,658,000 "
Elmhurst Station (LIRR),Cost: Contingency,"$18,348,000 "
Elmhurst Station (LIRR),Cost: Original Estimate Year,2020
