Date,ULSD Gallons Hedged,Percent of Expected ULSD Gallons Purchased,Weighted Average Hedge Price Per Month,Current Adopted Budget Forecasted Commodity Price,Posted Date
01/01/2023,2756162,50,2.06,2.03,01/01/2023
02/01/2023,2703685,50,2.12,2.03,01/01/2023
03/01/2023,2851182,50,2.2,2.03,01/01/2023
04/01/2023,2763744,50,2.28,2.03,01/01/2023
05/01/2023,2995075,50,2.35,2.03,01/01/2023
06/01/2023,2852867,50,2.43,2.03,01/01/2023
07/01/2023,3141480,50,2.5,2.03,01/01/2023
08/01/2023,3009763,50,2.58,2.03,01/01/2023
09/01/2023,2854250,50,2.62,2.03,01/01/2023
10/01/2023,2854323,50,2.66,2.03,01/01/2023
11/01/2023,2659407,50,2.72,2.03,01/01/2023
12/01/2023,2479089,50,2.76,2.03,01/01/2023
01/01/2024,2526463,46,2.8,1.99,01/01/2023
02/01/2024,2253035,42,2.83,1.99,01/01/2023
03/01/2024,2138329,37,2.84,1.99,01/01/2023
04/01/2024,1842422,33,2.84,1.99,01/01/2023
05/01/2024,1747027,29,2.82,1.99,01/01/2023
06/01/2024,1426319,25,2.79,1.99,01/01/2023
07/01/2024,1308803,21,2.77,1.99,01/01/2023
08/01/2024,1003093,17,2.72,1.99,01/01/2023
09/01/2024,713391,12,2.74,1.99,01/01/2023
10/01/2024,475530,8,2.73,1.99,01/01/2023
11/01/2024,221422,4,2.7,1.99,01/01/2023
02/01/2023,2703685,50,2.12,3.06,02/01/2023
03/01/2023,2851182,50,2.2,3.06,02/01/2023
04/01/2023,2763744,50,2.28,3.06,02/01/2023
05/01/2023,2995075,50,2.35,3.06,02/01/2023
06/01/2023,2852867,50,2.43,3.06,02/01/2023
07/01/2023,3141480,50,2.5,3.06,02/01/2023
08/01/2023,3009763,50,2.58,3.06,02/01/2023
09/01/2023,2854250,50,2.62,3.06,02/01/2023
10/01/2023,2854323,50,2.66,3.06,02/01/2023
11/01/2023,2659407,50,2.72,3.06,02/01/2023
12/01/2023,2479089,50,2.76,3.06,02/01/2023
01/01/2024,2756162,50,2.79,2.72,02/01/2023
02/01/2024,2478360,46,2.82,2.72,02/01/2023
03/01/2024,2375947,42,2.82,2.72,02/01/2023
04/01/2024,2072752,37,2.82,2.72,02/01/2023
05/01/2024,1996636,33,2.8,2.72,02/01/2023
06/01/2024,1664077,29,2.77,2.72,02/01/2023
07/01/2024,1570614,25,2.76,2.72,02/01/2023
08/01/2024,1253927,21,2.72,2.72,02/01/2023
